date,file,file_size,index,index_size
'20230225-090309',json/greenwood-volume-01.json,9850,test-auto,9850
'20230225-090315',json/greenwood-volume-02.json,6638,test-auto,6638
'20230225-090320',json/greenwood-volume-03.json,7728,test-auto,7726
'20230225-090325',json/greenwood-volume-04.json,7030,test-auto,7030
'20230225-090330',json/greenwood-volume-05.json,8913,test-auto,8912
'20230225-090336',json/greenwood-volume-06.json,8909,test-auto,8909
'20230225-090342',json/greenwood-volume-07.json,8964,test-auto,8964
'20230225-090348',json/greenwood-volume-08.json,9287,test-auto,9287
'20230225-090355',json/greenwood-volume-09.json,8819,test-auto,8818
'20230225-090401',json/greenwood-volume-10.json,8765,test-auto,8765
'20230225-090407',json/greenwood-volume-11.json,7376,test-auto,7376
'20230225-090413',json/greenwood-volume-12.json,6976,test-auto,6974
'20230225-090418',json/greenwood-volume-13.json,6383,test-auto,6381
'20230225-090422',json/greenwood-volume-14.json,6784,test-auto,6784
'20230225-090428',json/greenwood-volume-15.json,6954,test-auto,6953
'20230225-090433',json/greenwood-volume-16.json,7067,test-auto,7067
'20230225-090440',json/greenwood-volume-17.json,7349,test-auto,7349
'20230225-090447',json/greenwood-volume-18.json,6726,test-auto,6726
'20230225-090452',json/greenwood-volume-19.json,6328,test-auto,6328
'20230225-090458',json/greenwood-volume-20.json,6441,test-auto,6441
'20230225-090504',json/greenwood-volume-21.json,7131,test-auto,7131
'20230225-090510',json/greenwood-volume-22.json,6902,test-auto,6902
'20230225-090516',json/greenwood-volume-23.json,6841,test-auto,6841
'20230225-090521',json/greenwood-volume-24.json,7129,test-auto,7125
'20230225-090526',json/greenwood-volume-25.json,6841,test-auto,6841
'20230225-090531',json/greenwood-volume-26.json,6960,test-auto,6960
'20230225-090537',json/greenwood-volume-27.json,7192,test-auto,7192
'20230225-090542',json/greenwood-volume-28.json,7424,test-auto,7424
'20230225-090548',json/greenwood-volume-29.json,6440,test-auto,6438
'20230225-090554',json/greenwood-volume-30.json,6961,test-auto,6960
'20230225-090559',json/greenwood-volume-31.json,6956,test-auto,6956
'20230225-090605',json/greenwood-volume-32.json,6961,test-auto,6961
'20230225-090610',json/greenwood-volume-33.json,6960,test-auto,6960
'20230225-090616',json/greenwood-volume-34.json,6428,test-auto,6428
'20230225-090622',json/greenwood-volume-35.json,6844,test-auto,6844
'20230225-090627',json/greenwood-volume-36.json,6960,test-auto,6960
'20230225-090632',json/greenwood-volume-37.json,6323,test-auto,6317
'20230225-090637',json/greenwood-volume-38.json,6269,test-auto,6269
'20230225-090642',json/greenwood-volume-39.json,6840,test-auto,6840
'20230225-090647',json/greenwood-volume-40.json,6779,test-auto,6779
'20230225-090653',json/greenwood-volume-41.json,7182,test-auto,7182
'20230225-090658',json/greenwood-volume-42.json,6838,test-auto,6838
'20230225-090703',json/greenwood-volume-43.json,5986,test-auto,5986
'20230225-090708',json/greenwood-volume-44.json,6842,test-auto,6842
'20230225-090714',json/greenwood-volume-45.json,6670,test-auto,6670
'20230225-090719',json/greenwood-volume-46.json,6041,test-auto,6041
'20230225-090723',json/greenwood-volume-47.json,6810,test-auto,6810
'20230225-090728',json/greenwood-volume-48.json,6663,test-auto,6663
'20230225-090733',json/greenwood-volume-49.json,6043,test-auto,6043
'20230225-090738',json/greenwood-volume-50.json,9241,test-auto,9241
'20230225-090745',json/greenwood-volume-51.json,9962,test-auto,9962
'20230225-090752',json/greenwood-volume-52.json,6478,test-auto,6478
'20230225-090757',json/greenwood-volume-53.json,6480,test-auto,6480
'20230225-090802',json/greenwood-volume-54.json,5995,test-auto,5995
'20230225-090807',json/greenwood-volume-55.json,9363,test-auto,9363
'20230225-090813',json/greenwood-volume-56.json,9357,test-auto,9357
'20230225-090820',json/greenwood-volume-57.json,6761,test-auto,6761
'20230225-090825',json/greenwood-volume-58.json,6759,test-auto,6759
'20230225-090830',json/greenwood-volume-59.json,6762,test-auto,6762
'20230225-090835',json/greenwood-volume-60.json,6553,test-auto,6553
'20230226-190016',json/greenwood-volume-09.json,8819,test-auto,8819
'20230226-190108',json/greenwood-volume-24.json,7128,test-auto,7124
